path,label,width,height,pixel_sha256,phash,split_group,split
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181742.jpg,Healthy,300,300,48c5d3bda77474ba124ab3503ed5968a66903c3260535f45367e1a0649c299f7,8300454248378061999,group-00131,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181751.jpg,Healthy,300,300,6d24cf347a7844e51116e4462bef886cdd99d9bab88f6a0e8b470ddd348914ac,505661907601749246,group-00132,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181754.jpg,Healthy,300,300,91938c851620cff77128b1f18a13680a7d6ece83aed8397caed1bbc033a3ef40,493263792878001342,group-00133,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181800.jpg,Healthy,300,300,2e0fae095353972ea3c8ee0ce473dd05a9aaad85534df4a824d2b89db4bf7de7,3580551109323398394,group-00134,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165053.jpg,Healthy,300,300,ae2a40c49dfa7b3b02677f8414e3304cb2c180f2efa68e6ad7a5b5e9638ec87b,7391194588151731962,group-00136,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165056.jpg,Healthy,300,300,fa8a46fb888f53230153c59f5c0e455397ef93d33e71a054f32e2e187ac0f70c,7373171427908966138,group-00136,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165059.jpg,Healthy,300,300,763d4a48b9cc046a7db3a2afaaf7ca45c7b46dfce4ef7017764b8fec068700f7,4941318403334132478,group-00137,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165103.jpg,Healthy,300,300,33a10e2da279f3cce17bb4dd1c5417430d689b9ed4530bc820ca8178d9de96ef,4068094739093050106,group-00138,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165109.jpg,Healthy,300,300,5717510e8f0d15c0763dce308cfb258dea7d7e8afb48b43a9b97491688c826df,3225635187431191163,group-00139,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165113.jpg,Healthy,300,300,0308a12a24d2d94ec626a6e47fff1e8d21717bb1cd62a933eada34f3842529ca,8114468149663043435,group-00140,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165119.jpg,Healthy,300,300,127c40de04baf7171a650df090c4199818c542f783dcaad1f4f61e207f5c173f,3910894217202109246,group-00141,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165124.jpg,Healthy,300,300,571071daf7cfabc3ca98f7d2067085e31b01a695b9200d4e50c831ef2ff751fd,6350575299569073018,group-00142,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165130.jpg,Healthy,300,300,11e63f8893ca87d30da5380e0a94ff4d7524314293bf26887152dd3981bfd699,900278307298624315,group-00143,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165135.jpg,Healthy,300,300,0a341999b21a5373e9e2d26a03deb096997c841734d1a9e140bdbf13a09a6b45,5081781050037438398,group-00144,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165143.jpg,Healthy,300,300,63a9d1024090afd18f26857e0fd33e158e2618de7d9d2bfb345bff5666cbe4a7,6461687269711631550,group-00145,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165146.jpg,Healthy,300,300,f58f6e8a0aafa6c1a58fb16a5395b40dea2ce67e407063c0980ce22c59a48d5b,8679073676256744686,group-00146,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165151.jpg,Healthy,300,300,d20b854f6a155a181451705539e8422bd7d65bcb0da39e727a8c98cbb92a3bcb,7352646336511367726,group-00147,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165155.jpg,Healthy,300,300,4e4b33548ed9e380c5066dcf22c36544bab6797a0b52fe0fda3782d638b54d59,4841596430952588907,group-00148,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165201.jpg,Healthy,300,300,62e90e0fc1928c32573c5143eff7a88ba05b151c5d58c1e7bc5f53497692282d,7245853803311141867,group-00149,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165208.jpg,Healthy,300,300,f716daf0a7e2a13000b7fe5600fb7b739ce6dc1342c50f7ab53e1abf938faada,235813263609381370,group-00150,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165213.jpg,Healthy,300,300,98f4ce422058f2febd30c810fd4fed70f5f74eefb7a5394bf6448a69130ad1b0,4372529175251338106,group-00151,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165225.jpg,Healthy,300,300,365c435926c4bf2d0e83031705542989cee308f5f591fb4b5de6680df7d28609,5936172657139247068,group-00152,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165232.jpg,Healthy,300,300,26fa4b8bd96986f4bc316c4b11d03e873a08db529a6812b9c4ec96f06ef92f02,7649580041304272356,group-00153,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165237.jpg,Healthy,300,300,057bc3369c4e0257f50f8698f6e0fbd53a9451c256579846b4daf19d514eb29f,1766134758961311468,group-00154,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165246.jpg,Healthy,300,300,fd9c0a8638f0ad0d5c8ff6235c4215e957a5a6635b9d8c79dde67da72c9ffcb1,5885890289816803548,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165250.jpg,Healthy,300,300,479a238ae3077eef39981d9b32e9e2a5479dde5d3d48d0ebeb544fc06471127a,6030005512251349212,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165252.jpg,Healthy,300,300,bf6ed6bd35f5d84d7c300ff2acf77c19ad7177d94d59fb491c2d2a4a8f36adce,5885890332765427932,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165257.jpg,Healthy,300,300,21420db658e0aeb766ec4dab80bef335323e331c77190e45e143f44a442a1932,8953594672291506461,group-00158,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165302.jpg,Healthy,300,300,81630b4cc60ee7fd2f84263e66c89a4f317ecea2eae4b588035760ab11ed3b53,8386137117946520884,group-00159,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165308.jpg,Healthy,300,300,28edb9c72b15179424760fa92bc593b29248b9121580452e72af0d3de8f42058,7064985380948001092,group-00160,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165321.jpg,Healthy,300,300,ec73626419650a10fe499f945db0685fd62307eb4f8e0052d05f581632cf734b,1306536837588432823,group-00161,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165347.jpg,Healthy,300,300,fa814364e4bdaca3805fc1d2e31080fa79ac84ad40e189159db0afbe803568e5,6388162944005006206,group-00162,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165349.jpg,Healthy,300,300,2ff7b228502bcaa6f79a9c1a4c0db33b1fe13f5e30dbd21b1df5a13e601e8a7a,1511594422415092606,group-00163,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165353.jpg,Healthy,300,300,cf9f4d7b59096f7da048206dbd2fa6bbc602fe5ce4ed59e15c02ef8d0604029d,7264457271685615227,group-00164,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165357.jpg,Healthy,300,300,789ea40b691236ebf907930bd54e30f7b8bcefca637b766be5221022717ebfd3,5051267207167134526,group-00165,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165403.jpg,Healthy,300,300,fee7458473c4bc97faf3eab35aa09f2f50a73b10dc9bc944dd4d81ff141469d9,5282956088261694206,group-00166,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165410.jpg,Healthy,300,300,af6a637757926f0946b0f3cdb30fe6e10c603044034fc77602a1f7996ff7c03e,138577058950504058,group-00167,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165413.jpg,Healthy,300,300,3470778a2b0ad789b0f3072534fe7aa00da0ee62f8b90ebfb880a110f9d15d96,5536616764017892986,group-00168,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165418.jpg,Healthy,300,300,d4c65a4d4c754fe67171c330b5cc9c0207cccff322d9dbbfe2d6296ce37b3af2,1427870823369560811,group-00169,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104311.jpg,Healthy,300,300,9423107779b5e88f5ca13f6de981319533e7eb5e0b4ee44a3ef8dd473058c2ae,4655835678240794927,group-00170,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104317.jpg,Healthy,300,300,84d36d2dd8ff245c0c04c71a86f3b7e151d1de42abb004f45e4d830f1b2110d8,2773670795975696815,group-00171,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104319.jpg,Healthy,300,300,45d0bf473eb91cd03a3c5d5d2fa8261467427f604670d68a55278da34a254ef8,4771060463828068782,group-00172,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104326.jpg,Healthy,300,300,4a6ee2f28abb4c72419e4f6c8f41a4a5a086517d3adf8c84258d84bc3d5b33f8,3901714503889011118,group-00173,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104334.jpg,Healthy,300,300,d1967766f813f9a95936baafca59ba047ad85656187a5dfa627dcd11fd91b45d,4755366438880319787,group-00174,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104336.jpg,Healthy,300,300,b961c989beea259e6654996a25ec83667bd571b4111902d2548fe724f7769a57,8357608364440852523,group-00175,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104339.jpg,Healthy,300,300,1d1f44be171f688c84ec9e9ed485a09fe4446deb32707d7d77f0d258f2f6c62f,5313143405379098923,group-00176,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104347.jpg,Healthy,300,300,d3fbb5bad82fd91e53b0834d33b5b19978d3eeefb4e9d51a32ec0888366d21e6,1852261675307907499,group-00177,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104350.jpg,Healthy,300,300,ad2dc2e79a412704f0d032b4d08ede1618a62cb930ebc286d077bc2f21f3a1d8,1419133258528930219,group-00178,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104357.jpg,Healthy,300,300,7bc013babeeef6d63dc6763cd37baddcdccf6c92201993c92d461d5e356b271a,5429284520932305339,group-00179,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104359.jpg,Healthy,300,300,9701d91a5c2a9c4379640be633feb3609d03286e144e5b4a7a2b728fbcaac3c7,7444200052994607547,group-00180,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104408.jpg,Healthy,300,300,5fe6af13cec95cce75e751d94a55f4ae7f7698ee92f9743cbdd3cd2b2a82d494,4101721818544899243,group-00181,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104410.jpg,Healthy,300,300,b195e76065ca9be340943a07ef0470429db3be680664bdec893b523c70fff217,4178283013178786987,group-00183,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104411.jpg,Healthy,300,300,e96bcee9828f2e06f9d88057664178f9134e18606a0304210e828d942ddc9d88,4178283013178786987,group-00183,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104414.jpg,Healthy,300,300,a750f75f33325c374074a028a17d5a97ee72dfcd62485022b2c2b04847287f3e,6391441507780569515,group-00184,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104415.jpg,Healthy,300,300,6189d7426596185f69281797ea68a49f5abfe3471eaf35bd7a43fc740d811e5b,6634565546831684011,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104416.jpg,Healthy,300,300,6f1d91f4bc76bfc6f774a7f8964e82c5b08c6a4e5f4a97d413caf1e860f51c3c,6670594341703164331,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104416_1.jpg,Healthy,300,300,b0e9aee7faddc014b1b56206db1651790f1551607ac7be3a597e48ab24eded57,6634565579043938731,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104417.jpg,Healthy,300,300,6f63694ca67fcbaf1bb61ca21e4bda9cff1d069fbee843f3a43f02592c6300a1,6635128528997360043,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104425.jpg,Healthy,300,300,cc1ff4dc8f6f599488f08470e20397d35236780979358904b15017e08a80dfc4,1412296805640964907,group-00189,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104426.jpg,Healthy,300,300,2de4433e0340a15222d658fa48f98ade1e21d560c16ab827ce377931935c7323,1349246067528829803,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104426_1.jpg,Healthy,300,300,005e5f1c96369edf2b2642e6cf1f9de8122930c7e007cda97f70e0e57d4c7833,1349175767504128875,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104428.jpg,Healthy,300,300,21625daff0e2dcf3f0cfd9be8c687ea030cf6c9fe075ea4584a747e6db7bb4ec,1637406074936363883,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104446.jpg,Healthy,300,300,f50bfb6c238d806cb9f4669e85c0719a15548c669052351713a0c89a0dfc0dc9,8784348465570548923,group-00194,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104447.jpg,Healthy,300,300,45198270d91439ba42aa27642c45e82aee5c7f1bb2eb2caa8c170f7c433cc404,8207887713271319739,group-00194,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104448.jpg,Healthy,300,300,55a7e77d6cce72e92e89a12a9a1e8c4275405f0465828c0a12efb83bafedb09e,3596241277258468539,group-00195,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104455.jpg,Healthy,300,300,81c6ad429c059b707edb50834ddd92740cd56f65274f129bc8bf703dd83966d4,7059460680166011371,group-00197,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104457.jpg,Healthy,300,300,1ce421a3ad826dfc5cfbc3bfed33a50aa2350efdb08020d565c9652518d76f67,7059443362857873899,group-00197,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104458.jpg,Healthy,300,300,9a786c78dfe66799a0a7e75cd6f93276426d08a6468e1a90fdbffb66496ba606,4895615337139139051,group-00198,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104503.jpg,Healthy,300,300,f9a900d527902c285401e5bbe927272f2a010115ba8de013478f9e6283e03fb7,5422781410358809774,group-00199,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104505.jpg,Healthy,300,300,d7fe5333aeb8efa4ca39593a61e444cc35aec5e0eb3ce66438527e5bc190a91c,5407616945451390126,group-00200,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104522.jpg,Healthy,300,300,6a75c2b32f99fa772875e081efe922c192f4bc9a71390c78508188041a3bde56,4254010082556479982,group-00201,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104525.jpg,Healthy,300,300,310f6206ca806e37883373f8b85a62b11ad52f15c1a6df770be5e6609d214bd0,6777675355912439230,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104526.jpg,Healthy,300,300,58222d8fab08dd4d1c2d0cc58b4c9d2d7a64d3062fb5f49ed7037684d1d4822c,6777679749663983038,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104527.jpg,Healthy,300,300,be1c4e5d3e97df3a74e3e2782810e4c599c43713bd8b81a38e57dc7de920c376,6777679887102936494,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104534.jpg,Healthy,300,300,6a87afeaf51c969c27780d1c3d721550bb3de127a9db256d42dc7d4f38220d67,248361023968244923,group-00206,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104535.jpg,Healthy,300,300,443d43ce992f63e570125510e091009f5adf025f74eb409ce0264a9e8d288020,248290655224067311,group-00206,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104536.jpg,Healthy,300,300,be65cf968e01bc00c75a520c0ac12c6285d0842e70d8d6e7f10458cf6ac1ef60,4846948570173142203,group-00207,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104539.jpg,Healthy,300,300,59347fce00d8e660330684c27432f3cb1fa01533190f2fd3a32acc52bcb986af,1388184072320971963,group-00209,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104540.jpg,Healthy,300,300,74345b54e8b2b6f7f99202f4c09d30579978bacfdb74c6e412f69698934e8efe,1604361252480742587,group-00209,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104543.jpg,Healthy,300,300,2d8981dda198d6b80d8b3e1de744488118c5fa6198305e1355cc2be731ec853a,2758101018553717227,group-00210,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104547.jpg,Healthy,300,300,7bfd77ada3793acb6acce3795a9ad02d2f438b61c9ebf17390b099d0fc9e720b,3893254552692539819,group-00211,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104559.jpg,Healthy,300,300,332bb73dbd208b26e88477942d0fb3800a8a88d1452ca074136afdf77f5cfe7c,2430935999229760683,group-00213,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104601.jpg,Healthy,300,300,5c605d85be3d0b3235362f71a40be16e0757cc39c8dd7b25755124fdaf824cf2,2430935999229760683,group-00213,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104602.jpg,Healthy,300,300,798758c2c27dce10b4ccbbd67d9658d7d6998266462c72a258c0f91caacf2c23,2448915212289283247,group-00214,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104607.jpg,Healthy,300,300,352d942927777716410405078bcde5db84db5c1bc38954797be3d24544b6126a,6108265565443637758,group-00215,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104608.jpg,Healthy,300,300,a225414f61ad814183d28562f9f391bb244ac4f825301ee34821706ba07c7f56,5829036340695974398,group-00216,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104613.jpg,Healthy,300,300,edcacfd8c6acfcb4bd2dd476058d9634352dd4628713d5b8112fcf75ef763caf,8506668547650110635,group-00217,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104616.jpg,Healthy,300,300,42ef8f7edb690e1c6d3ef9bc952d9a0c452780929684c1935d544e91a05a65c1,6777391704487757051,group-00218,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104623.jpg,Healthy,300,300,817ea77b32fcb3c1795e92d7772ee8e5b47019043e958a74ce3c35980dcf83bc,8745466017771574459,group-00219,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104626.jpg,Healthy,300,300,b11038e55897b15f17234fafd89565bce244169f22b7112a4f2252ddba530bbd,2924529035575219435,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104627.jpg,Healthy,300,300,640d21f3b35c2f624d07d7991b28cfa8babce656ad7c7753fe8a27b4b15f1333,4329652187228984555,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104628.jpg,Healthy,300,300,45a271aeef5dfe7ba923bb2b892098be7711f8ff561af8f04fe9b875bab0677c,3212759479909535979,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104629.jpg,Healthy,300,300,5d3e3c5c956cfe2352ad68bf31028bba42191719162af166c7beeadeb45c6851,8698141489580396795,group-00223,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104631.jpg,Healthy,300,300,86e9ae84a28e177573f557690146613a171e720c4ee3271235a968a0cb6a3019,2420204526032749999,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104632.jpg,Healthy,300,300,c06a2b387a2b7c024a7b6f2a146680dc578c6275afc91ed1799e628bcaae90bc,2422385957102257583,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104632_1.jpg,Healthy,300,300,a97053d7fe98f15c1061aa292dfcd0469532923d59c275976b8dba04cb03a74f,2422385957102257583,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104650.jpg,Healthy,300,300,bc5e21c45b830711ad39cd5d1edb35b220c6f191831308b858b4a3d5fa35a091,2633907212456445371,group-00228,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104651.jpg,Healthy,300,300,036a43b0ee362cfd0ebac775a39eec72fbff1f32232b7827cd7aab6382423ea2,8398514733326419387,group-00228,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104652.jpg,Healthy,300,300,1da625f28bc22f8aefe34157fdb114d301e1b7c58b3bd75c1125e2bdd5de35c6,7271295309850740203,group-00230,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104653.jpg,Healthy,300,300,4655f29807f49441ee2cec562489397558b46271c44c6249420ffbc932b8273d,7266791710223369707,group-00230,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104654.jpg,Healthy,300,300,0d424b3019f40a5bfec7b056cc9677e2e3ceb9e503e799d766974728cdd2fc93,4956445098179954155,group-00232,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104655.jpg,Healthy,300,300,f48f9b14e94957b6c3a73d0441830508ce89542a9d90c980784b8c2a2816fe0f,4960948697538762219,group-00232,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104714.jpg,Healthy,300,300,a1f3edc1ac9ebd281c595d4a8202e3324850747c7aa60babd8b7d679c0b60a2a,8505223206369812623,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104715.jpg,Healthy,300,300,f61b9a37654bae593841a4c48e1b5f6524fd2e515fae4d350f028702a07a816a,6199397789342167183,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104717.jpg,Healthy,300,300,1ebe714c70d5311304744be8e5f2e379c77652e5a78e0827c25104e315a3f30b,5082505081754284175,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104718.jpg,Healthy,300,300,d09d1408681f57017c32e413ac52cdc16c98d4556d881bb1f77ad0941f6f2f4d,5082505081754284175,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104719.jpg,Healthy,300,300,251f830e45679caf07db36dedec5b13c0f9893d7c20ee5de58172ccbe035ff9c,5082505081754284175,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104721.jpg,Healthy,300,300,2811c6d489cc4b095104acff19a5093a621da20eef7c5e788af1f4d8ae0eb6a7,3911551312524785807,group-00238,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104724.jpg,Healthy,300,300,d1fb831952ec13c92e54d83902e0d9d0795ef4eba50866dde990cc957797612c,367262936672933965,group-00240,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104725.jpg,Healthy,300,300,76ab06cd4c2ce5297412dfe35ffa04b0e08d2ea4cf733dbeafea58a581835076,403326916989720653,group-00240,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104726.jpg,Healthy,300,300,499934c54af278d8e2450eded1c1f4f900f79b18abd03a636a0f76a42c2ad509,5135409728777870364,group-00241,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104729.jpg,Healthy,300,300,2e525c314d5422477e228f7b1765932b3b47de2f479b56404d7323f7ba49140c,428835583533420641,group-00242,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104730.jpg,Healthy,300,300,bc444f215d55a67457e19236e110abdbcc0b0c140b0e32ee665e1b7a46c9377d,1284519787074334765,group-00243,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104732.jpg,Healthy,300,300,f8a0912b7dab3208d593084192c7aa9a10791f7cd15118e482571f817c1cd0f6,3997107262311877637,group-00244,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104735.jpg,Healthy,300,300,04da1cccc77fc221006068d34af6d0e965a029fea62c675a56fcf8c4fbaea70d,8617800359198321665,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104736.jpg,Healthy,300,300,a8064d287d7430728e5260fad6db6705d233c8991b6fc02800888af9ab983ec3,7482893253100694533,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104737.jpg,Healthy,300,300,00190c79e1ef03acc5af399587e51cdfbf0a068ee90ef2771962416c6f9b01aa,7483456203054115844,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104739.jpg,Healthy,300,300,0d9e573c2c964e31862b3cb1ccbe036e09867dbb846e6857b90bbb0b16459e16,7484019273266621444,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104742.jpg,Healthy,300,300,ec2568c0f91280497ae6ad727301e13a70034ca814ef5093e283ed5c7584b0c3,2543908819241179168,group-00249,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104743.jpg,Healthy,300,300,36d85c336411ed96a846a37900bef33d259681f7527d248eb839212b3f3c57cb,5590347083913270309,group-00250,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104746.jpg,Healthy,300,300,8a636d5933c3ac4f698c5d8d8b0451bc360375dd51d6e12811bda2a55b074f89,5302129936260839461,group-00251,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104748.jpg,Healthy,300,300,37a2f7463e06ffaeec0c577ea8402ecf2a010680d0ee7054f38f208204eef770,4259780473826488361,group-00252,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104756.jpg,Healthy,300,300,bea8a605f7b33692567871394d94f37ddae08569abef49379066e27b421e7cce,5286251449550894080,group-00253,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104757.jpg,Healthy,300,300,2597baed60b6a9131e684536c6845282c3401f57fb78c9538b8761c160901861,5286313022167186960,group-00255,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104758.jpg,Healthy,300,300,d2b2a217b78223122b523a50b3aaf3be657633855dd551f5a0a388ec889d54a8,5286313022167186960,group-00255,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104802.jpg,Healthy,300,300,4e6c117efcb94ac90cd4b010ef8997c9b75f4b850a2a06016965f794e0825059,688643646860750848,group-00257,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104803.jpg,Healthy,300,300,7cb0e893260fd9903038942dcd61017d81ff20ca268498c8600463745776eaa8,2418017107677999168,group-00257,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104804.jpg,Healthy,300,300,220990ed92d1783b015f43edef528931d3a1f92ba1be1afc42359910c6036962,3859457953835970624,group-00258,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104805.jpg,Healthy,300,300,cc24324575a402d0f7d01d24a84c94b4b8736995c3caadbf806f3543e9aecd75,7608693925061754880,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104806.jpg,Healthy,300,300,cd849644ee8f167bb983dbcd39ddc6f8ebc0dbfb11c2e50f4f9cb3089fcee75a,7604207986306351104,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104807.jpg,Healthy,300,300,7800b99278ff3be6643eef4ed5c6c0365debb15967f3c6298f1d80911ef46bca,7581689713291591680,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104808.jpg,Healthy,300,300,78c2783943ae3067687b9cd7669ee982712e5720a32a41d8560c68d0e232c9a8,1984591566609547264,group-00262,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104810.jpg,Healthy,300,300,99b95efdb1744b3f24f03c9f14091c6908a37948870935d14eba95754e3d0d2c,1049056149560594496,group-00263,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104812.jpg,Healthy,300,300,749fbd644b2cdb1ab56acd53a4cecc31b8e329f1481f90fee6dac9dbbf4ccd9e,1013027902968266816,group-00264,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104815.jpg,Healthy,300,300,bc05f3dabd4e6d745f05aa8df6412e9ba6158c18a0c097b49dd731efe08b4931,868895139752022112,group-00265,test
